entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"Denmark","DNK",false,"2024","Hydro",false,0.02,0.06,3.35,0,0,0,0
"Denmark","DNK",false,"2024","Nuclear",false,0,0,0,0,,0,0
"Denmark","DNK",false,"2024","Other fossil",false,0.84,2.37,140.53,-0.01,-1.18,-0.15,-1.67
"Denmark","DNK",false,"2024","Other renewables",false,0,0,0,0,,0,0
"Denmark","DNK",false,"2024","Solar",false,3.99,11.26,667.51,0.63,18.75,1.29,105.4
"Denmark","DNK",false,"2024","Total generation",true,35.44,100,5928.99,1.73,5.13,0,289.42
"Denmark","DNK",false,"2024","Wind",false,20.53,57.93,3434.6,1.02,5.23,0.05,170.64
"France","FRA",false,"2022","Bioenergy",false,9.66,2.06,145.75,0.09,0.94,0.32,1.36
"France","FRA",false,"2022","Coal",false,4.16,0.89,62.77,-1.28,-23.53,-0.1,-19.31
"France","FRA",false,"2022","Gas",false,45.74,9.76,690.13,12.43,37.32,3.71,187.55
"France","FRA",false,"2022","Hydro",false,45.52,9.72,686.81,-14.1,-23.65,-1.11,-212.74
"France","FRA",false,"2022","Nuclear",false,294.73,62.91,4446.92,-84.63,-22.31,-6.01,-1276.91
"France","FRA",false,"2022","Other fossil",false,10.45,2.23,157.67,0.36,3.57,0.4,5.43
"France","FRA",false,"2022","Other renewables",false,0.6,0.13,9.05,0.02,3.45,0.02,0.3
"France","FRA",false,"2022","Solar",false,19.63,4.19,296.18,4.27,27.8,1.4,64.43
"France","FRA",false,"2022","Total generation",true,468.49,100,7068.62,-81.96,-14.89,0,-1236.62
"France","FRA",false,"2022","Wind",false,38,8.11,573.35,0.88,2.37,1.37,13.28
"France","FRA",false,"2023","Bioenergy",false,9.9,1.91,149.01,0.24,2.48,-0.15,3.61
"France","FRA",false,"2023","Coal",false,1.98,0.38,29.8,-2.18,-52.4,-0.51,-32.81
"France","FRA",false,"2023","Gas",false,29.84,5.77,449.13,-15.9,-34.76,-3.99,-239.32
"France","FRA",false,"2023","Hydro",false,56.66,10.95,852.81,11.14,24.47,1.23,167.67
"France","FRA",false,"2023","Nuclear",false,338.2,65.34,5090.4,43.47,14.75,2.43,654.29
"France","FRA",false,"2023","Other fossil",false,10.56,2.04,158.94,0.11,1.05,-0.19,1.66
"France","FRA",false,"2023","Other renewables",false,0.58,0.11,8.73,-0.02,-3.33,-0.02,-0.3
"France","FRA",false,"2023","Solar",false,21.82,4.22,328.42,2.19,11.16,0.03,32.96
"France","FRA",false,"2023","Total generation",true,517.59,100,7790.48,49.1,10.48,0,739.03
"France","FRA",false,"2023","Wind",false,48.05,9.28,723.22,10.05,26.45,1.17,151.27
"France","FRA",false,"2024","Bioenergy",false,9.74,1.75,146.36,-0.16,-1.62,-0.16,-2.4
"France","FRA",false,"2024","Coal",false,1.7,0.3,25.55,-0.28,-14.14,-0.08,-4.21
"France","FRA",false,"2024","Gas",false,19.07,3.42,286.56,-10.77,-36.09,-2.35,-161.84
"France","FRA",false,"2024","Hydro",false,69.3,12.43,1041.35,12.64,22.31,1.48,189.94
"France","FRA",false,"2024","Nuclear",false,379.34,68.04,5700.2,41.14,12.16,2.7,618.2
"France","FRA",false,"2024","Other fossil",false,11.28,2.02,169.5,0.72,6.82,-0.02,10.82
"France","FRA",false,"2024","Other renewables",false,0.58,0.1,8.72,0,0,-0.01,0
"France","FRA",false,"2024","Solar",false,23.55,4.22,353.88,1.73,7.93,0,26
"France","FRA",false,"2024","Total generation",true,557.56,100,8378.25,39.97,7.72,0,600.61
"France","FRA",false,"2024","Wind",false,43,7.71,646.15,-5.05,-10.51,-1.57,-75.88
"World",,true,"2022","Bioenergy",false,670.03,2.32,83.54,14.37,2.19,0,1.79
"World",,true,"2022","Coal",false,10242.99,35.42,1277.16,87.23,0.86,-0.52,10.88
"World",,true,"2022","Gas",false,6629.75,22.93,826.64,72.4,1.1,-0.27,9.03
"World",,true,"2022","Hydro",false,4322.66,14.95,538.98,33.52,0.78,-0.23,4.18
"World",,true,"2022","Nuclear",false,2639.64,9.13,329.13,-122.8,-4.45,-0.65,-15.31
"World",,true,"2022","Other fossil",false,888.04,3.07,110.73,45.89,5.45,0.09,5.72
"World",,true,"2022","Other renewables",false,87.91,0.3,10.96,1.58,1.83,-0.01,0.2
"World",,true,"2022","Solar",false,1330.11,4.6,165.85,275.65,26.14,0.87,34.37
